trial,name,leftLevel,rightLevel,clearerSide,keyName,key,rt,correct
1,gen,0.675,0.325,left,LeftArrow,80,1.24893859300209,1
2,gen,0.175,0.425,right,RightArrow,79,1.17284083199775,1
3,gen,0.175,0.425,right,RightArrow,79,1.23859689100209,1
4,gen,0.425,0.175,left,LeftArrow,80,0.906571806997817,1
5,gen,0.525,0.875,right,RightArrow,79,0.603681471002346,1
6,gen,0.575,0.825,right,RightArrow,79,0.980093624995789,1
7,gen,0.525,0.875,right,RightArrow,79,0.598339033000229,1
8,gen,0.575,0.825,right,RightArrow,79,0.819187289998808,1
9,gen,0.675,0.325,left,LeftArrow,80,0.982420268999704,1
10,gen,0.675,0.325,left,LeftArrow,80,0.601628306001658,1
